"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Kuhl, Chad",641771,"WSH","SL","Slider",0.7,2,"335",43.5,"95","0.235","0.482","0.336",35.8,28.4,23.1,"0.236","0.492","0.344",45.8
"Miley, Wade",489119,"MIL","FF","4-Seamer",0.3,1,"365",19.5,"95","0.198","0.453","0.312",13.4,22.1,16.7,"0.245","0.561","0.372",47.7
"Bielak, Brandon",656232,"HOU","CH","Changeup",1,3,"345",24.9,"95","0.227","0.352","0.292",33.2,26.3,22.1,"0.263","0.406","0.318",41.3
"Yarbrough, Ryan",642232,"LAD","FC","Cutter",0.9,3,"352",24.7,"95","0.289","0.378","0.314",12.1,7.4,9.9,"0.259","0.375","0.295",30.1
"Lorenzen, Michael",547179,"PHI","SIFT","Sinker",-1.1,-3,"283",12,"95","0.333","0.4","0.363",3.8,5.3,10.2,"0.275","0.354","0.293",31.4
"Varland, Louie",686973,"MIN","FC","Cutter",1.1,4,"349",32,"94","0.247","0.4","0.302",29,25.5,23.8,"0.236","0.383","0.296",42.2
"Barlow, Scott",605130,"SD","CUKC","Curveball",-0.9,-4,"400",33.4,"94","0.195","0.28","0.262",35.8,37.2,22.3,"0.211","0.266","0.266",22.4
"Lauer, Eric",641778,"MIL","FF","4-Seamer",-1.6,-6,"378",44.8,"94","0.28","0.585","0.399",22.4,24.5,19.7,"0.302","0.607","0.416",46.7
"Williams, Trevor",592866,"WSH","SIFT","Sinker",0.4,1,"383",14.6,"94","0.325","0.458","0.377",18.8,12.8,18.5,"0.289","0.482","0.364",39.7
"Jacques, Joe",682175,"BOS","SIFT","Sinker",-1.5,-4,"276",63.3,"94","0.286","0.393","0.373",12,16,19.7,"0.23","0.318","0.287",44.3
"Walker, Taijuan",592836,"PHI","FF","4-Seamer",-1.1,-5,"493",17.4,"94","0.26","0.548","0.42",25.1,18.1,11.7,"0.243","0.52","0.404",50
"Beeks, Jalen",656222,"TB","FF","4-Seamer",0.1,0,"318",43.5,"93","0.243","0.419","0.366",25.2,18.3,19.3,"0.213","0.33","0.317",33.9
"Romano, Jordan",605447,"TOR","FF","4-Seamer",1.3,5,"417",45.6,"93","0.222","0.37","0.307",32.3,30.1,26.9,"0.209","0.354","0.295",37
