"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Kremer, Dean","665152","R","ST","96","82.8","2658","13.8",0.5672358618602784,0.5346288760253523,56.60674613326954,74.99861445360307,"Sweeper","53","240","210",-18.39186832033353,18.391868320333526,"30",4,0,3,30,0,30,"4:00","3:30","+0H 30M"
,"Darvish, Yu","506433","R","ST","389","82.4","2795","18.4",0.7457970672935318,0.5270597058926937,57.15902138373532,85.3058558521729,"Sweeper","53","240","195",-28.146834468437575,28.146834468437575,"45",4,0,3,15,0,45,"4:00","3:15","+0H 45M"
,"Weathers, Ryan","677960","L","ST","211","80.8","2390","14.7",0.6358569770242615,0.4193502082392619,297.9432982216214,278.42022377239266,"Sweeper","42","480","525",19.523074449228716,19.52307444922872,"-45",8,0,8,45,0,45,"8:00","8:45","-0H 45M"
,"Smeltzer, Devin","656970","L","ST","41","77.7","2480","15.9",0.6508461240399426,0.5463543708544908,296.99136103343506,278.7240238782617,"Sweeper","55","480","525",18.26733715517338,18.267337155173372,"-45",8,0,8,45,0,45,"8:00","8:45","-0H 45M"
,"Gibaut, Ian","664139","R","ST","249","84.2","2507","15.7",0.6884983279844659,0.53232208845608,71.83654020994761,97.62260035535678,"Sweeper","53","210","165",-25.786060145409166,25.786060145409163,"45",3,30,2,45,0,45,"3:30","2:45","+0H 45M"
,"Fried, Max","608331","L","ST","55","81.5","2628","14.3",0.6012657915300699,0.5206416092696043,309.86555349794446,293.4900115141002,"Sweeper","52","465","495",16.375541983844244,16.375541983844236,"-30",7,45,8,15,0,30,"7:45","8:15","-0H 30M"
,"Wantz, Andrew","681806","R","ST","122","83.8","2556","13.6",0.5764617897291107,0.45123093854019003,83.06009381172726,107.81413842903223,"Sweeper","45","195","150",-24.75404461730497,24.75404461730498,"45",3,15,2,30,0,45,"3:15","2:30","+0H 45M"
,"Coulombe, Danny","543056","L","ST","145","82.1","2455","15.5",0.6667016657983927,0.5422154426980583,324.36276668842436,306.8571765223583,"Sweeper","54","435","465",17.505590166066042,17.50559016606607,"-30",7,15,7,45,0,30,"7:15","7:45","-0H 30M"
,"Ryan, Joe","657746","R","ST","303","79.2","2540","15",0.6403868134705553,0.5399012146324459,65.99980682438706,85.22272615643935,"Sweeper","54","225","195",-19.222919332052285,19.222919332052296,"30",3,45,3,15,0,30,"3:45","3:15","+0H 30M"
,"Bristo, Braden","668754","R","ST","18","82.8","2783","14.8",0.6118054797179787,0.40682787814848026,84.80819930329292,115.4675090061251,"Sweeper","41","195","135",-30.659309702832175,30.659309702832175,"60",3,15,2,15,1,0,"3:15","2:15","+1H 00M"
,"Festa, Matt","670036","R","ST","80","82.7","2607","18",0.7362635742366547,0.4949657925960832,65.77573625968185,95.3110223704895,"Sweeper","49","225","165",-29.535286110807647,29.535286110807657,"60",3,45,2,45,1,0,"3:45","2:45","+1H 00M"
,"Merryweather, Julian","657240","R","ST","29","84.1","2238","14.8",0.677516308471134,0.43382101293661457,43.98022635613597,72.41199191971832,"Sweeper","43","270","210",-28.431765563582346,28.43176556358235,"60",4,30,3,30,1,0,"4:30","3:30","+1H 00M"
,"Rea, Colin","607067","R","ST","218","83.1","2212","11.2",0.5081379720575775,0.489004178328596,57.486314200931616,81.79745673154618,"Sweeper","49","240","195",-24.31114253061456,24.311142530614568,"45",4,0,3,15,0,45,"4:00","3:15","+0H 45M"
,"Gore, MacKenzie","669022","L","ST","14","84.6","2196","10.9",0.4992633133533425,0.33229295500490413,322.0525028196856,283.46567043456275,"Sweeper","33","435","510",38.586832385122875,38.58683238512287,"-75",7,15,8,30,1,15,"7:15","8:30","-1H 15M"
,"Singer, Brady","663903","R","ST","14","81.1","2255","13.9",0.6440923287800291,0.3597251929980578,82.10992868887352,99.24824916904345,"Sweeper","36","195","165",-17.138320480169924,17.138320480169916,"30",3,15,2,45,0,30,"3:15","2:45","+0H 30M"
,"Otto, Glenn","657248","R","ST","103","82.2","2495","14.4",0.6252012950950576,0.4073431786652076,65.11952071880387,89.418215148241,"Sweeper","41","225","180",-24.298694429437134,24.298694429437145,"45",3,45,3,0,0,45,"3:45","3:00","+0H 45M"
,"Holmes, Clay","605280","R","ST","96","83.9","2674","18",0.7495412919673365,0.538389476608634,44.2477151514849,71.66703185723163,"Sweeper","54","270","210",-27.419316705746738,27.419316705746734,"60",4,30,3,30,1,0,"4:30","3:30","+1H 00M"
,"Anderson, Chase","502624","R","ST","108","80.5","2400","15",0.6973832345290724,0.5070692389432534,59.04571427711396,76.50402818162358,"Sweeper","51","240","210",-17.458313904509623,17.458313904509616,"30",4,0,3,30,0,30,"4:00","3:30","+0H 30M"
,"McFarland, T.J.","519008","L","ST","15","78.4","2340","19.6",0.8406607280132616,0.6432230273322651,300.2736783904658,280.7389134851979,"Sweeper","64","480","525",19.534764905267934,19.53476490526791,"-45",8,0,8,45,0,45,"8:00","8:45","-0H 45M"
,"Covey, Dylan","592229","R","ST","30","84.8","2453","11.3",0.4916608989567916,0.41297859417575417,48.929209877406265,81.15241331547493,"Sweeper","41","255","195",-32.223203438068666,32.223203438068666,"60",4,15,3,15,1,0,"4:15","3:15","+1H 00M"
,"Shreve, Chasen","592741","L","ST","158","83.1","2260","6.3",0.2882807593024772,0.2989866699825959,273.38989206181515,263.13072408490245,"Sweeper","30","540","555",10.259167976912693,10.259167976912726,"-15",9,0,9,15,0,15,"9:00","9:15","-0H 15M"
,"Marsh, Alec","679525","R","ST","208","85.4","2479","10.2",0.44541487384946865,0.3398338467062777,44.83144095241087,70.19733417410568,"Sweeper","34","270","225",-25.365893221694805,25.36589322169481,"45",4,30,3,45,0,45,"4:30","3:45","+0H 45M"
,"Crawford, Kutter","676710","R","ST","139","82.2","2285","13.5",0.6010294318200111,0.3053686687172453,84.15547045770285,97.492174539524,"Sweeper","31","195","165",-13.336704081821154,13.336704081821134,"30",3,15,2,45,0,30,"3:15","2:45","+0H 30M"
,"Phillips, Evan","623465","R","ST","393","85.3","2514","15.6",0.6817469532849101,0.4697400809485569,64.54792948114745,92.40085890257775,"Sweeper","47","225","180",-27.852929421430304,27.8529294214303,"45",3,45,3,0,0,45,"3:45","3:00","+0H 45M"
,"Ward, Thaddeus","663658","R","ST","239","81","2430","19.3",0.8241366866182681,0.6543016112901046,57.30764299205309,78.37912572983612,"Sweeper","65","240","210",-21.07148273778303,21.07148273778303,"30",4,0,3,30,0,30,"4:00","3:30","+0H 30M"
,"Holderman, Colin","670059","R","ST","265","84.5","2498","13.4",0.586195904607866,0.42028584177731615,87.49541500154842,115.64858383409964,"Sweeper","42","180","135",-28.153168832551216,28.15316883255123,"45",3,0,2,15,0,45,"3:00","2:15","+0H 45M"
,"Lorenzen, Michael","547179","R","ST","149","83.1","2565","11.5",0.5009745103639003,0.31639757824755144,59.65279011121797,80.62121829191976,"Sweeper","32","240","195",-20.968428180701792,20.968428180701785,"45",4,0,3,15,0,45,"4:00","3:15","+0H 45M"
,"Kelly, Michael","547184","R","ST","145","83.3","2735","19.3",0.8157889651337258,0.7362944390207992,51.93521588903204,76.15227622829846,"Sweeper","74","255","210",-24.217060339266425,24.21706033926642,"45",4,15,3,30,0,45,"4:15","3:30","+0H 45M"
,"Pivetta, Nick","601713","R","ST","122","84.1","2498","15.5",0.6643731041602143,0.442567536082356,77.25863185508362,102.46022550206426,"Sweeper","44","210","150",-25.20159364698064,25.201593646980633,"60",3,30,2,30,1,0,"3:30","2:30","+1H 00M"
,"Tonkin, Michael","543859","R","ST","20","79.9","2348","19.1",0.850459688805778,0.6541471027445147,60.419029129911934,78.06379284396172,"Sweeper","65","240","210",-17.644763714049787,17.64476371404978,"30",4,0,3,30,0,30,"4:00","3:30","+0H 30M"
,"Abbott, Andrew","671096","L","ST","293","83","2655","13.7",0.5869450063815818,0.36788958510812275,268.2722884751944,246.8581646215063,"Sweeper","37","540","585",21.414123853688096,21.414123853688086,"-45",9,0,9,45,0,45,"9:00","9:45","-0H 45M"
,"Whitlock, Garrett","676477","R","ST","274","79.6","2115","11.8",0.5270151481684152,0.6603628132972553,49.58885897299305,56.5256123045518,"Sweeper","66","255","240",-6.936753331558748,6.93675333155875,"15",4,15,4,0,0,15,"4:15","4:00","+0H 15M"
,"Thornton, Trent","663423","R","ST","154","79.6","2967","19.8",0.7838856305135478,0.6068134965098663,64.26451496165092,82.79239370258087,"Sweeper","61","225","195",-18.52787874092995,18.527878740929946,"30",3,45,3,15,0,30,"3:45","3:15","+0H 30M"
,"Brigham, Jeff","656257","R","ST","279","82.4","2872","15.4",0.6232360238011799,0.4571289917000363,66.41260456717124,92.92272287646118,"Sweeper","46","225","180",-26.510118309289936,26.51011830928995,"45",3,45,3,0,0,45,"3:45","3:00","+0H 45M"
,"Allen, Logan","671106","L","ST","453","78.7","2268","16.6",0.7304899448689479,0.599037947349435,293.31230104508234,280.6884955388907,"Sweeper","60","495","525",12.623805506191616,12.623805506191625,"-30",8,15,8,45,0,30,"8:15","8:45","-0H 30M"
,"López, Pablo","641154","R","ST","637","84.4","2494","14.3",0.6252438010215431,0.45771481364255184,53.76638789512323,83.05299332907111,"Sweeper","46","255","195",-29.286605433947884,29.286605433947887,"60",4,15,3,15,1,0,"4:15","3:15","+1H 00M"
,"Beck, Tristan","663941","R","ST","252","82.2","2633","18.2",0.7595882560825896,0.6291247923807048,55.243295889786864,77.44339272339995,"Sweeper","63","255","210",-22.200096833613088,22.200096833613102,"45",4,15,3,30,0,45,"4:15","3:30","+0H 45M"
,"Clarke, Taylor","664199","R","ST","190","83.9","2489","12.7",0.5584584601614154,0.522306935976725,44.825432734172324,70.42999284957358,"Sweeper","52","270","225",-25.604560115401256,25.60456011540125,"45",4,30,3,45,0,45,"4:30","3:45","+0H 45M"
,"Peralta, Sammy","671111","L","ST","81","77.1","2490","18.9",0.80142213633089,0.6051245546128147,279.5480344656818,262.3525054059927,"Sweeper","61","525","555",17.19552905968908,17.195529059689093,"-30",8,45,9,15,0,30,"8:45","9:15","-0H 30M"
,"Lugo, Seth","607625","R","ST","90","81.3","2927","18.2",0.7222506923271422,0.6099234707867138,60.78839510458724,80.26741568097826,"Sweeper","61","240","195",-19.479020576391022,19.479020576391026,"45",4,0,3,15,0,45,"4:00","3:15","+0H 45M"
,"King, Michael","650633","R","ST","491","81.8","2786","19",0.7836976325121243,0.5871367986209611,63.44034680137209,90.09605510423526,"Sweeper","59","240","180",-26.655708302863175,26.655708302863175,"60",4,0,3,0,1,0,"4:00","3:00","+1H 00M"
,"Sheehan, Emmet","686218","R","ST","40","79.3","2459","18.4",0.800004315410511,0.6104881819984348,56.98100691023777,78.65032910354208,"Sweeper","61","240","210",-21.66932219330431,21.669322193304303,"30",4,0,3,30,0,30,"4:00","3:30","+0H 30M"
,"Thompson, Keegan","624522","R","ST","47","84.1","2811","12.4",0.5065430879489625,0.3506582059444091,63.5770760995905,93.87577334318449,"Sweeper","35","240","165",-30.298697243593992,30.298697243594,"75",4,0,2,45,1,15,"4:00","2:45","+1H 15M"
,"Stewart, Brock","592779","R","ST","93","84.8","2536","16.6",0.7292450429189883,0.5064278710192496,69.46234741403524,96.30353220218035,"Sweeper","51","225","165",-26.841184788145114,26.84118478814512,"60",3,45,2,45,1,0,"3:45","2:45","+1H 00M"
,"Criswell, Cooper","681867","R","ST","152","76.1","2494","21.5",0.8837083901998632,0.7136691088394514,77.88838194708644,95.1691939205899,"Sweeper","71","210","165",-17.28081197350346,17.280811973503447,"45",3,30,2,45,0,45,"3:30","2:45","+0H 45M"
,"Dubin, Shawn","681869","R","ST","16","84.5","2777","14.5",0.6057716570057081,0.4561275845129274,64.36976484179662,90.5699612836063,"Sweeper","46","225","180",-26.20019644180968,26.200196441809677,"45",3,45,3,0,0,45,"3:45","3:00","+0H 45M"
,"Maton, Phil","664208","R","ST","236","79.7","2700","20",0.820791733598686,0.6708151572735539,72.4567206463242,92.83199929524535,"Sweeper","67","210","180",-20.375278648921153,20.37527864892115,"30",3,30,3,0,0,30,"3:30","3:00","+0H 30M"
,"Estes, Joey","683155","R","ST","16","80.3","2727","16.2",0.6714958559972737,0.4488479773763886,76.67568496423219,92.39381844010893,"Sweeper","45","210","180",-15.71813347587674,15.718133475876737,"30",3,30,3,0,0,30,"3:30","3:00","+0H 30M"
,"Moll, Sam","594580","L","ST","366","81.8","3067","18.4",0.732229000140388,0.5441669858055452,297.05313715837724,277.82635836236193,"Sweeper","54","480","525",19.22677879601531,19.22677879601529,"-45",8,0,8,45,0,45,"8:00","8:45","-0H 45M"
