called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
50,672578,"Hernández, Carlos",SL,175,28.6,34,16
136,668933,"Ashcraft, Graham",SL,476,28.6,70,66
104,669211,"Akin, Keegan",SL,364,28.6,44,60
55,665625,"Peguero, Elvis",SL,193,28.5,33,22
115,657746,"Ryan, Joe",SL,405,28.4,66,49
71,642547,"Peralta, Freddy",SL,250,28.4,35,36
61,677651,"Garcia, Luis",SL,215,28.4,39,22
227,666201,"Manoah, Alek",SL,798,28.4,127,100
168,680694,"Bradish, Kyle",SL,593,28.3,101,67
47,656427,"Flaherty, Jack",SL,166,28.3,29,18
30,608652,"Farrell, Luke",SL,106,28.3,9,21
201,641540,"Dunning, Dane",SL,710,28.3,114,87
48,661440,"Llovera, Mauricio",SL,170,28.2,28,20
82,592826,"Velasquez, Vince",SL,291,28.2,43,39
88,641329,"Baker, Bryan",SL,312,28.2,29,59
50,607179,"Weems, Jordan",SL,178,28.1,26,24
85,545343,"Head, Louis",SL,303,28.1,39,46
58,656061,"Abreu, Albert",SL,207,28,37,21
141,596295,"Gomber, Austin",SL,507,27.8,82,59
88,625643,"López, Reynaldo",SL,318,27.7,52,36
175,657006,"Steele, Justin",SL,632,27.7,99,76
181,571800,"Hutchison, Drew",SL,653,27.7,89,92
96,669432,"Rogers, Trevor",SL,346,27.7,54,42
51,503285,"O'Day, Darren",SL,184,27.7,21,30
55,600921,"Machado, Andrés",SL,199,27.6,25,30
80,656793,"Nelson, Nick",SL,291,27.5,49,31
86,640455,"Manaea, Sean",SL,314,27.4,42,44
178,608337,"Giolito, Lucas",SL,649,27.4,95,83
38,650204,"Ruiz, Norge",SL,139,27.3,21,17
45,663989,"Vespi, Nick",SL,165,27.3,31,14
145,605488,"Springs, Jeffrey",SL,533,27.2,52,93
41,664092,"Poppen, Sean",SL,151,27.2,15,26
67,605288,"Houser, Adrian",SL,247,27.1,27,40
36,606160,"Montero, Rafael",SL,133,27.1,10,26
95,592789,"Syndergaard, Noah",SL,352,27,34,61
57,608717,"Stratton, Chris",SL,211,27,29,28
99,643256,"Cimber, Adam",SL,369,26.8,30,69
93,660761,"Suarez, José",SL,347,26.8,56,37
51,670090,"Mills, Wyatt",SL,190,26.8,23,28
37,667297,"Nance, Tommy",SL,138,26.8,22,15
33,647315,"Pop, Zach",SL,123,26.8,11,22
39,607625,"Lugo, Seth",SL,146,26.7,16,23
31,658431,"Medina, Adonis",SL,116,26.7,14,17
77,676092,"Snider, Collin",SL,288,26.7,39,38
75,641793,"Littell, Zack",SL,281,26.7,42,33
211,502042,"Archer, Chris",SL,792,26.6,109,102
45,489265,"Romo, Sergio",SL,169,26.6,20,25
91,669467,"Pallante, Andre",SL,344,26.5,35,56
65,675921,"Howard, Spencer",SL,245,26.5,31,34
114,664062,"Gonsolin, Tony",SL,432,26.4,84,30
115,501985,"Minor, Mike",SL,435,26.4,40,75
28,656730,"Megill, Trevor",SL,106,26.4,18,10
49,543243,"Gray, Sonny",SL,186,26.3,18,31
33,621593,"Castro, Anthony",SL,126,26.2,21,12
43,595881,"Beede, Tyler",SL,164,26.2,17,26
123,641778,"Lauer, Eric",SL,470,26.2,66,57
29,676637,"Sanders, Phoenix",SL,111,26.1,15,14
45,657024,"Swanson, Erik",SL,173,26,26,19
34,666721,"Castillo, Max",SL,131,26,17,17
36,572125,"Selman, Sam",SL,139,25.9,19,17
151,605154,"Brebbia, John",SL,587,25.7,74,77
88,606303,"Payamps, Joel",SL,344,25.6,33,55
43,656605,"Keller, Mitch",SL,168,25.6,21,22
32,650911,"Sánchez, Cristopher",SL,125,25.6,14,18
61,642397,"Soto, Gregory",SL,238,25.6,38,23
123,621368,"Hearn, Taylor",SL,480,25.6,59,64
31,544727,"Familia, Jeurys",SL,121,25.6,15,16
70,665665,"Sanmartin, Reiver",SL,275,25.5,43,27
73,606424,"García, Jarlín",SL,287,25.4,25,48
101,605182,"Clevinger, Mike",SL,397,25.4,54,47
123,502043,"Gibson, Kyle",SL,484,25.4,89,34
67,656271,"Burke, Brock",SL,265,25.3,33,34
91,676684,"Vest, Will",SL,360,25.3,52,39
100,570632,"Ureña, José",SL,398,25.1,48,52
26,592346,"González, Chi Chi",SL,104,25,9,17
154,663474,"McKenzie, Triston",SL,616,25,89,65
38,674072,"Henry, Tommy",SL,154,24.7,24,14
106,640444,"Crowe, Wil",SL,430,24.7,65,41
30,642100,"Speier, Gabe",SL,122,24.6,13,17
27,605525,"Wendelken, J.B.",SL,110,24.5,12,15
30,501925,"Smith, Joe",SL,123,24.4,10,20
65,621383,"Banks, Tanner",SL,267,24.3,22,43
27,681810,"Warren, Austin",SL,111,24.3,13,14
25,622250,"Sborz, Josh",SL,103,24.3,16,9
143,641712,"Hudson, Dakota",SL,592,24.2,75,68
121,656629,"Kopech, Michael",SL,503,24.1,51,70
51,543135,"Eovaldi, Nathan",SL,212,24.1,28,23
41,657508,"Baumann, Mike",SL,170,24.1,18,23
31,643290,"Dunn, Justin",SL,129,24,21,10
96,592836,"Walker, Taijuan",SL,400,24,51,45
33,570663,"Robles, Hansel",SL,139,23.7,15,18
